task,provider,status,requested_samples,completed_samples,attention_backend,all_outputs_finite,nonfinite_output_rows,mean_layer_cosine,mean_layer_relative_l2,baseline_accuracy,provider_accuracy,baseline_loss,provider_loss,top1_agreement,logit_cosine,logit_relative_l2,shiftless_scale_overflow_fraction,shiftless_scale_maximum,stable_scale_overflow_fraction,stable_scale_maximum
vit-s256,nvmx-fast,complete,1000,1000,tk,True,0,0.9884614609628916,0.15062573089512685,0.989,0.988,,,0.993,0.9986833930015564,0.051392290741205215,,,,
vit-s256,nvmx-accurate,complete,1000,1000,tk,True,0,0.9901904466797907,0.14009637919440865,0.989,0.987,,,0.996,0.9989801645278931,0.045183662325143814,,,,
vit-s256,hao-nvnv,complete,1000,1000,hao-native,True,0,0.9960739042162895,0.08720207307363549,0.989,0.987,,,0.998,0.9997154474258423,0.02381761372089386,,,,
vit-s256,tk-nvnv-control,nonfinite,1000,1,tk,False,2560,,,1.0,,,,,,,0.08145999163389206,1.8282079774202329e+37,0.0,0.1666666716337204
vit-s1024,nvmx-fast,complete,200,200,tk,True,0,0.9938209203630687,0.10934602304516981,0.965,0.95,,,0.975,0.9970636367797852,0.07675369828939438,,,,
vit-s1024,nvmx-accurate,complete,200,200,tk,True,0,0.9948771085838476,0.1001011846307665,0.965,0.97,,,0.995,0.9984152317047119,0.05637871474027634,,,,
vit-s1024,hao-nvnv,complete,200,200,hao-native,True,0,0.9977710933983325,0.06524658049689606,0.965,0.97,,,0.995,0.9994754791259766,0.03242366015911102,,,,
vit-s1024,tk-nvnv-control,nonfinite,200,1,tk,False,127950,,,1.0,,,,,,,0.08136890083551407,5.331992461740219e+37,0.0,0.1666666716337204
vit-s4096,nvmx-fast,complete,200,200,tk,True,0,0.996129184315602,0.08859727269193779,0.885,0.885,,,0.955,0.9886742830276489,0.15086132287979126,,,,
vit-s4096,nvmx-accurate,complete,200,200,tk,True,0,0.9970871119449537,0.0775656834229206,0.885,0.89,,,0.985,0.9988676309585571,0.04789925739169121,,,,
vit-s4096,hao-nvnv,complete,200,200,hao-native,True,0,0.9986000551035007,0.05170647430078437,0.885,0.88,,,0.98,0.9992150068283081,0.039646781980991364,,,,
vit-s4096,tk-nvnv-control,nonfinite,200,1,tk,False,539442,,,1.0,,,,,,,0.07511217892169952,5.668735730727006e+37,0.0,0.1666666716337204
bert-mlm-s256,nvmx-fast,complete,800,800,tk,True,0,0.9739619296913345,0.23018618988959738,0.6174041297935103,0.6125532612258276,2.2066139909174747,2.2417971129965992,0.9060635857096034,0.9968444147191811,0.07960203509632059,,,,
bert-mlm-s256,nvmx-accurate,complete,800,800,tk,True,0,0.97682373220101,0.2170274506524826,0.6174041297935103,0.6136020976728941,2.2066139909174747,2.2348099738252003,0.9111438872500819,0.9971358046934501,0.07575754290522854,,,,
bert-mlm-s256,hao-nvnv,complete,800,800,hao-native,True,0,0.9864183440804482,0.16264943022979425,0.6174041297935103,0.6159619796787938,2.2066139909174747,2.222451799355816,0.9306129137987545,0.9983351786490582,0.05768685129647222,,,,
bert-mlm-s256,tk-nvnv-control,nonfinite,800,1,tk,False,167,,,0.6052631578947368,,2.289310656095806,,,,,0.0172119140625,52785.35546875,0.0,0.1666666716337204
bert-mlm-s512,nvmx-fast,complete,200,200,tk,True,0,0.9762519896775483,0.21759050383542974,0.6178819217175023,0.6110092944102631,2.1615117958569217,2.1986721301987027,0.9016887027097787,0.9969465878592718,0.0781791328394363,,,,
bert-mlm-s512,nvmx-accurate,complete,200,200,tk,True,0,0.9779001474380493,0.21038251253465812,0.6178819217175023,0.613561984552952,2.1615117958569217,2.201248883545625,0.9082995156434088,0.9971018290717673,0.07612422841431979,,,,
bert-mlm-s512,hao-nvnv,complete,200,200,hao-native,True,0,0.986149658759435,0.16359836695094904,0.6178819217175023,0.6128419950255269,2.1615117958569217,2.1894380659594526,0.922961120565519,0.9981775974069468,0.06039723413432035,,,,
bert-mlm-s512,tk-nvnv-control,nonfinite,200,1,tk,False,49613,,,0.6704545454545454,,1.6917384754527698,,,,,0.010630290023982525,56554.921875,0.0,0.1666666716337204
bert-sst2-s256,nvmx-fast,complete,872,872,tk,True,0,0.9359752044298143,0.35473159003065796,0.9243119266055045,0.9231651376146789,,,0.9873853211009175,0.9962615966796875,0.0870349332690239,,,,
bert-sst2-s256,nvmx-accurate,complete,872,872,tk,True,0,0.9506595356429753,0.3045328113318788,0.9243119266055045,0.9208715596330275,,,0.9873853211009175,0.996710479259491,0.08146912604570389,,,,
bert-sst2-s256,hao-nvnv,complete,872,872,hao-native,True,0,0.9789452046178715,0.18897328757615448,0.9243119266055045,0.9220183486238532,,,0.9977064220183486,0.9991346001625061,0.043096497654914856,,,,
bert-sst2-s256,tk-nvnv-control,nonfinite,872,1,tk,False,21717,,,1.0,,,,,,,0.0146484375,4493.1396484375,0.0,0.1666666716337204
