shape,batch,seqlen,heads,dim,provider,time_ms,tflops,speedup_vs_bf16,cosine,relative_l2,rmse
b1_s256_h16_d128,1,256,16,128,TK NV/MX fast,0.01056000031530857,50.84004696682741,1.7636363347730615,0.9444772601127625,0.33673346042633057,0.03436284512281418
b1_s256_h16_d128,1,256,16,128,TK NV/MX accurate,0.01228800043463707,43.69066512129048,1.5156249668413402,0.9527462720870972,0.32422173023223877,0.033086180686950684
b1_s256_h16_d128,1,256,16,128,HAO NV/NV,0.03545600175857544,15.141890945731115,0.5252707391574053,0.9821733832359314,0.18892118334770203,0.019278954714536667
b1_s256_h16_d128,1,256,16,128,HAO BF16,0.018624000251293182,28.826831226160536,1.0,1.0,0.0,0.0
b1_s1024_h16_d128,1,1024,16,128,TK NV/MX fast,0.016704000532627106,514.244152185083,2.3773945984184466,0.9441036581993103,0.33568745851516724,0.017384013161063194
b1_s1024_h16_d128,1,1024,16,128,TK NV/MX accurate,0.018432000651955605,466.03376129376505,2.154513847308982,0.9518978595733643,0.3268224895000458,0.016924915835261345
b1_s1024_h16_d128,1,1024,16,128,HAO NV/NV,0.03852799907326698,222.95304190765012,1.0307309383684315,0.982042670249939,0.18955837190151215,0.009816527366638184
b1_s1024_h16_d128,1,1024,16,128,HAO BF16,0.039712000638246536,216.3057628410454,1.0,1.0,0.0,0.0
b1_s4096_h12_d128,1,4096,12,128,TK NV/MX fast,0.0644799992442131,1598.6230817651733,1.6873449552994046,0.9434115886688232,0.33755624294281006,0.008703300729393959
b1_s4096_h12_d128,1,4096,12,128,TK NV/MX accurate,0.07788799703121185,1323.4287570996764,1.3968776395525135,0.951458215713501,0.32865723967552185,0.008473856374621391
b1_s4096_h12_d128,1,4096,12,128,HAO NV/NV,0.13142399489879608,784.325687127201,0.8278549250174183,0.9815990328788757,0.19212965667247772,0.00495372898876667
b1_s4096_h12_d128,1,4096,12,128,HAO BF16,0.1088000014424324,947.4192439100348,1.0,1.0,0.0,0.0
b1_s4096_h24_d128,1,4096,24,128,TK NV/MX fast,0.09216000139713287,2236.962099421297,1.833333360281324,0.9439730048179626,0.3357754051685333,0.008708740584552288
b1_s4096_h24_d128,1,4096,24,128,TK NV/MX accurate,0.11052799969911575,1865.2145227382532,1.5286624701875324,0.9518826007843018,0.3266148269176483,0.008471155539155006
b1_s4096_h24_d128,1,4096,24,128,HAO NV/NV,0.19094400107860565,1079.6800582550431,0.8848667886422973,0.9818943738937378,0.19047357141971588,0.004940161947160959
b1_s4096_h24_d128,1,4096,24,128,HAO BF16,0.16896000504493713,1220.1611272038579,1.0,1.0,0.0,0.0
b4_s4096_h16_d128,4,4096,16,128,TK NV/MX fast,0.20099200308322906,2735.212373899029,1.9875815750560948,0.9435626268386841,0.336995005607605,0.008719646371901035
b4_s4096_h16_d128,4,4096,16,128,TK NV/MX accurate,0.2483839988708496,2213.330232169474,1.6083483794363207,0.9513890743255615,0.327867329120636,0.008483472280204296
b4_s4096_h16_d128,4,4096,16,128,HAO NV/NV,0.4382080137729645,1254.5544504186735,0.9116401104175574,0.9817495346069336,0.19109885394573212,0.0049446262419223785
b4_s4096_h16_d128,4,4096,16,128,HAO BF16,0.39948800206184387,1376.1510009076405,1.0,1.0,0.0,0.0
b4_s4096_h32_d128,4,4096,32,128,TK NV/MX fast,0.3911679983139038,2810.8424833200843,2.159767687434002,0.9436423182487488,0.33670392632484436,0.008719648234546185
b4_s4096_h32_d128,4,4096,32,128,TK NV/MX accurate,0.48927998542785645,2247.20336110728,1.726684165054973,0.951433539390564,0.327650785446167,0.008485198952257633
b4_s4096_h32_d128,4,4096,32,128,HAO NV/NV,0.8642560243606567,1272.205916747154,0.9775251537778771,0.9817956686019897,0.19095833599567413,0.0049452632665634155
b4_s4096_h32_d128,4,4096,32,128,HAO BF16,0.8448320031166077,1301.455938837393,1.0,1.0,0.0,0.0
b1_s32768_h12_d128,1,32768,12,128,TK NV/MX fast,2.279968023300171,2893.4922328897314,2.145293274128011,0.944271445274353,0.33484917879104614,0.0030773922335356474
b1_s32768_h12_d128,1,32768,12,128,TK NV/MX accurate,2.8675200939178467,2300.618496326744,1.7057247745141428,0.9517992734909058,0.32623374462127686,0.0029982130508869886
b1_s32768_h12_d128,1,32768,12,128,HAO NV/NV,5.100992202758789,1293.291482211653,0.958872288212373,0.9818362593650818,0.1905602365732193,0.0017513216007500887
b1_s32768_h12_d128,1,32768,12,128,HAO BF16,4.891200065612793,1348.7630189237593,1.0,1.0,0.0,0.0
b1_s32768_h16_d128,1,32768,16,128,TK NV/MX fast,2.9645121097564697,2967.1300694840425,2.151617512052575,0.9428938627243042,0.33872658014297485,0.0030849033500999212
b1_s32768_h16_d128,1,32768,16,128,TK NV/MX accurate,3.726912021636963,2360.1557995309245,1.7114694774153358,0.9508494138717651,0.3294511139392853,0.0030004282016307116
b1_s32768_h16_d128,1,32768,16,128,HAO NV/NV,6.518239974975586,1349.458297941991,0.9785611138178195,0.981547474861145,0.1922161877155304,0.0017505810828879476
b1_s32768_h16_d128,1,32768,16,128,HAO BF16,6.378496170043945,1379.0230154120165,1.0,1.0,0.0,0.0
b1_s32768_h24_d128,1,32768,24,128,TK NV/MX fast,4.400447845458984,2998.3628932058846,2.2055428195199,0.9437683820724487,0.3363879919052124,0.003085117321461439
b1_s32768_h24_d128,1,32768,24,128,TK NV/MX accurate,5.461023807525635,2416.056036073244,1.7772081738316645,0.951561689376831,0.3275096118450165,0.0030036908574402332
b1_s32768_h24_d128,1,32768,24,128,HAO NV/NV,9.732831954956055,1355.632111432214,0.9971790526273089,0.9817197322845459,0.19128671288490295,0.0017543489811941981
b1_s32768_h24_d128,1,32768,24,128,HAO BF16,9.705376148223877,1359.4670965665334,1.0,1.0,0.0,0.0
