shape,provider,family,time_ms,bf16_reference_ms,speedup_vs_bf16,cosine_bf16,relative_l2_bf16,rmse_bf16
b1_s256_h16_d128,TK NV/NV fixed schedule,nv-nv,0.01056000031530857,0.012304000090807676,1.165151488960741,0.9523876905441284,0.3205990493297577,0.03271636739373207
b1_s256_h16_d128,TK MX/NV fixed schedule,mx-nv,0.010528000071644783,0.012304000090807676,1.1686930097907409,0.9483137130737305,0.32016098499298096,0.03267166391015053
b1_s256_h16_d128,TK NV/MX fixed schedule,nv-mx,0.010879999957978725,0.012304000090807676,1.13088236565522,0.929612934589386,0.37305545806884766,0.03806941583752632
b1_s256_h16_d128,TK MX/MX fixed schedule,mx-mx,0.010528000071644783,0.012304000090807676,1.1686930097907409,0.9246894121170044,0.38075965642929077,0.03885561227798462
b1_s256_h16_d128,TK NV/MX fast,nvmx-fast,0.010528000071644783,0.012304000090807676,1.1686930097907409,0.9444772601127625,0.33673346042633057,0.03436284512281418
b1_s256_h16_d128,TK NV/MX accurate,nvmx-accurate,0.012223999947309494,0.012304000090807676,1.0065445143850635,0.9527462720870972,0.32422173023223877,0.033086180686950684
b1_s256_h16_d128,TK NV/FP8,fp8,0.01228800043463707,0.012304000090807676,1.001302055306371,0.9463357925415039,0.33264732360839844,0.03394586220383644
b1_s256_h16_d128,HAO NV/NV,hao-nv-nv,0.014336000196635723,0.012304000090807676,0.8582589231336016,0.9821733832359314,0.18892118334770203,0.019278954714536667
b1_s256_h16_d128,HAO NV/FP8,hao-nv-fp8,0.01232000021263957,0.012304000090807676,0.9987012888347616,0.9903014898300171,0.13927921652793884,0.014213111251592636
b1_s256_h16_d128,HAO BF16,bf16,0.012304000090807676,0.012304000090807676,1.0,1.0,0.0,0.0
b1_s1024_h24_d128,TK NV/NV fixed schedule,nv-nv,0.018239999189972878,0.022703999653458595,1.2447368783842778,0.9604992866516113,0.28553298115730286,0.014734518714249134
b1_s1024_h24_d128,TK MX/NV fixed schedule,mx-nv,0.01817600056529045,0.022703999653458595,1.2491196603952013,0.9537301659584045,0.30111396312713623,0.015538552775979042
b1_s1024_h24_d128,TK NV/MX fixed schedule,nv-mx,0.018432000651955605,0.022703999653458595,1.231770770963473,0.9463367462158203,0.32338714599609375,0.01668792963027954
b1_s1024_h24_d128,TK MX/MX fixed schedule,mx-mx,0.018432000651955605,0.022703999653458595,1.231770770963473,0.9376141428947449,0.3509560823440552,0.01811058446764946
b1_s1024_h24_d128,TK NV/MX fast,nvmx-fast,0.016896000131964684,0.022703999653458595,1.343749968994499,0.9438695907592773,0.33667999505996704,0.017373887822031975
b1_s1024_h24_d128,TK NV/MX accurate,nvmx-accurate,0.01894400082528591,0.022703999653458595,1.1984796592256237,0.9517970681190491,0.3270656168460846,0.016877759248018265
b1_s1024_h24_d128,TK NV/FP8,fp8,0.022463999688625336,0.022703999653458595,1.0106837592663778,0.9547038674354553,0.3005865216255188,0.01551133580505848
b1_s1024_h24_d128,HAO NV/NV,hao-nv-nv,0.03315199911594391,0.022703999653458595,0.6848455676550582,0.981843888759613,0.19060955941677094,0.009836132638156414
b1_s1024_h24_d128,HAO NV/FP8,hao-nv-fp8,0.030592000111937523,0.022703999653458595,0.7421547976720589,0.9899736642837524,0.1415259838104248,0.007303245365619659
b1_s1024_h24_d128,HAO BF16,bf16,0.022703999653458595,0.022703999653458595,1.0,1.0,0.0,0.0
b1_s2048_h24_d128,TK NV/NV fixed schedule,nv-nv,0.04124800115823746,0.06155199930071831,1.4922419892442722,0.961650550365448,0.2810339331626892,0.010218176059424877
b1_s2048_h24_d128,TK MX/NV fixed schedule,mx-nv,0.04163200035691261,0.06155199930071831,1.4784780643022395,0.9544857740402222,0.2985556721687317,0.010855252854526043
b1_s2048_h24_d128,TK NV/MX fixed schedule,nv-mx,0.042080000042915344,0.06155199930071831,1.4627376244758654,0.9486486911773682,0.3171345889568329,0.011530768126249313
b1_s2048_h24_d128,TK MX/MX fixed schedule,mx-mx,0.041280001401901245,0.06155199930071831,1.4910852037394404,0.939443826675415,0.34761205315589905,0.012638905085623264
b1_s2048_h24_d128,TK NV/MX fast,nvmx-fast,0.03891199827194214,0.06155199930071831,1.5818257101717892,0.9432787895202637,0.33807721734046936,0.0122922258451581
b1_s2048_h24_d128,TK NV/MX accurate,nvmx-accurate,0.04560000076889992,0.06155199930071831,1.3498245233078583,0.9511226415634155,0.3291410505771637,0.011967313475906849
b1_s2048_h24_d128,TK NV/FP8,fp8,0.05734400078654289,0.06155199930071831,1.0733816695113279,0.9559472799301147,0.2963618338108063,0.010775486938655376
b1_s2048_h24_d128,HAO NV/NV,hao-nv-nv,0.07211199775338173,0.06155199930071831,0.8535611440307351,0.9816800951957703,0.19150051474571228,0.006962810177356005
b1_s2048_h24_d128,HAO NV/FP8,hao-nv-fp8,0.05967999994754791,0.06155199930071831,1.0313672814144716,0.9897868633270264,0.1428440511226654,0.005193698685616255
b1_s2048_h24_d128,HAO BF16,bf16,0.06155199930071831,0.06155199930071831,1.0,1.0,0.0,0.0
b1_s4096_h24_d128,TK NV/NV fixed schedule,nv-nv,0.10400000214576721,0.1647999957203865,1.5846153107708743,0.9627205729484558,0.27631598711013794,0.007166588678956032
b1_s4096_h24_d128,TK MX/NV fixed schedule,mx-nv,0.10268799960613251,0.1647999957203865,1.6048612919960386,0.9554438591003418,0.2953437268733978,0.0076600960455834866
b1_s4096_h24_d128,TK NV/MX fixed schedule,nv-mx,0.104032002389431,0.1647999957203865,1.5841278831054122,0.9506219625473022,0.3118532598018646,0.008088290691375732
b1_s4096_h24_d128,TK MX/MX fixed schedule,mx-mx,0.1029760017991066,0.1647999957203865,1.6003728329042222,0.9411420226097107,0.34398481249809265,0.008921661414206028
b1_s4096_h24_d128,TK NV/MX fast,nvmx-fast,0.09241600334644318,0.1647999957203865,1.7832408863494655,0.9439730048179626,0.3357754051685333,0.008708740584552288
b1_s4096_h24_d128,TK NV/MX accurate,nvmx-accurate,0.11059200018644333,0.1647999957203865,1.4901619958275079,0.9518826007843018,0.3266148269176483,0.008471155539155006
b1_s4096_h24_d128,TK NV/FP8,fp8,0.14745600521564484,0.1647999957203865,1.1176214592235645,0.9565500020980835,0.2935612201690674,0.007613864261657
b1_s4096_h24_d128,HAO NV/NV,hao-nv-nv,0.19251200556755066,0.1647999957203865,0.8560504849270802,0.9818943738937378,0.19047357141971588,0.004940161947160959
b1_s4096_h24_d128,HAO NV/FP8,hao-nv-fp8,0.15811200439929962,0.1647999957203865,1.0422990736629767,0.9899139404296875,0.14194302260875702,0.003681463422253728
b1_s4096_h24_d128,HAO BF16,bf16,0.1647999957203865,0.1647999957203865,1.0,1.0,0.0,0.0
b1_s4096_h64_d128,TK NV/NV fixed schedule,nv-nv,0.22732800245285034,0.37068799138069153,1.6306305751205252,0.96244877576828,0.27744075655937195,0.0071707735769450665
b1_s4096_h64_d128,TK MX/NV fixed schedule,mx-nv,0.23561599850654602,0.37068799138069153,1.5732717376167173,0.9551334381103516,0.2963649332523346,0.007659890688955784
b1_s4096_h64_d128,TK NV/MX fixed schedule,nv-mx,0.23212799429893494,0.37068799138069153,1.596912050613416,0.9501863121986389,0.3130095601081848,0.00809009000658989
b1_s4096_h64_d128,TK MX/MX fixed schedule,mx-mx,0.2341119945049286,0.37068799138069153,1.5833788959193533,0.9406800270080566,0.34506097435951233,0.00891849584877491
b1_s4096_h64_d128,TK NV/MX fast,nvmx-fast,0.2027519941329956,0.37068799138069153,1.8282828386759933,0.9435098171234131,0.3372044861316681,0.008715435862541199
b1_s4096_h64_d128,TK NV/MX accurate,nvmx-accurate,0.24959999322891235,0.37068799138069153,1.4851282108839134,0.9513726830482483,0.3282237648963928,0.00848331768065691
b1_s4096_h64_d128,TK NV/FP8,fp8,0.3338240087032318,0.37068799138069153,1.110429393082484,0.9567338228225708,0.2931976020336151,0.007578027434647083
b1_s4096_h64_d128,HAO NV/NV,hao-nv-nv,0.4381919950246811,0.37068799138069153,0.8459487977634383,0.9817430973052979,0.191186785697937,0.004941441118717194
b1_s4096_h64_d128,HAO NV/FP8,hao-nv-fp8,0.35678400099277496,0.37068799138069153,1.0389703303657893,0.9898476600646973,0.1424102932214737,0.0036807567812502384
b1_s4096_h64_d128,HAO BF16,bf16,0.37068799138069153,0.37068799138069153,1.0,1.0,0.0,0.0
b1_s8192_h64_d128,TK NV/NV fixed schedule,nv-nv,0.8617920279502869,1.6114879846572876,1.8699267716482608,0.9628009796142578,0.2760832905769348,0.005044814199209213
b1_s8192_h64_d128,TK MX/NV fixed schedule,mx-nv,0.9052479863166809,1.6114879846572876,1.7801619103448016,0.9552948474884033,0.29581406712532043,0.005405350588262081
b1_s8192_h64_d128,TK NV/MX fixed schedule,nv-mx,0.8888319730758667,1.6114879846572876,1.8130400722204199,0.9508281946182251,0.3112991750240326,0.005688307341188192
b1_s8192_h64_d128,TK MX/MX fixed schedule,mx-mx,0.9034879803657532,1.6114879846572876,1.783629688139204,0.9411020874977112,0.3443637192249298,0.006292488891631365
b1_s8192_h64_d128,TK NV/MX fast,nvmx-fast,0.7583360075950623,1.6114879846572876,2.125031606725172,0.943419337272644,0.33732831478118896,0.006163932383060455
b1_s8192_h64_d128,TK NV/MX accurate,nvmx-accurate,0.9515519738197327,1.6114879846572876,1.693536484600448,0.9512567520141602,0.3285444378852844,0.006003427319228649
b1_s8192_h64_d128,TK NV/FP8,fp8,1.2922559976577759,1.6114879846572876,1.2470346336779417,0.9571096897125244,0.29190388321876526,0.0053339009173214436
b1_s8192_h64_d128,HAO NV/NV,hao-nv-nv,1.6936960220336914,1.6114879846572876,0.9514623425296275,0.9816998839378357,0.19146740436553955,0.003498645266517997
b1_s8192_h64_d128,HAO NV/FP8,hao-nv-fp8,1.4018399715423584,1.6114879846572876,1.1495520297400754,0.9898043870925903,0.14273309707641602,0.002608133014291525
b1_s8192_h64_d128,HAO BF16,bf16,1.6114879846572876,1.6114879846572876,1.0,1.0,0.0,0.0
