"Kernel Name","void tkfa4::bwd_cute16_kernel_candidate::detail::main_kernel_causal_cta2_fused_dense_role_split<(bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, __nv_bfloat16, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (int)64, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (int)-1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)0, (bool)0, (bool)1, (bool)0, (int)0, (bool)0, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (bool)1, (int)5, (bool)1, (bool)1>(tkfa4::bwd_cute16_kernel_candidate::detail::cta2_fused_dense_globals_t<T18, T25, T114>)",
"Address","Source","Warp Stall Sampling (All Samples)","Warp Stall Sampling (Not-issued Samples)","# Samples","Instructions Executed","Thread Instructions Executed","Predicated-On Thread Instructions Executed","Avg. Threads Executed","Avg. Predicated-On Threads Executed","Derivative Avg. Predicated-On Threads Executed","Avg. Predicated-On Threads Unexecuted","Divergent Branches","Address Space","Access Operation","Access Size","L1 Tag Requests Global","L1 Conflicts Shared N-Way","L1 Wavefronts Shared Excessive","L1 Wavefronts Shared","L1 Wavefronts Shared Ideal","L2 Theoretical Sectors Global Excessive","L2 Theoretical Sectors Global","L2 Theoretical Sectors Global Ideal","L2 Theoretical Sectors Local","L2 Explicit Evict Policies","L2 Explicit Hit Policy Evict First","L2 Explicit Hit Policy Evict Last","L2 Explicit Hit Policy Evict Normal","L2 Explicit Hit Policy Evict Normal Demote","L2 Explicit Miss Policy Evict First","L2 Explicit Miss Policy Evict Normal","stall_barrier","stall_branch_resolving","stall_dispatch","stall_drain","stall_lg","stall_long_sb","stall_math","stall_membar","stall_mio","stall_misc","stall_no_inst","stall_not_selected","stall_selected","stall_short_sb","stall_sleep","stall_tex","stall_wait","stall_barrier (Not Issued)","stall_branch_resolving (Not Issued)","stall_dispatch (Not Issued)","stall_drain (Not Issued)","stall_lg (Not Issued)","stall_long_sb (Not Issued)","stall_math (Not Issued)","stall_membar (Not Issued)","stall_mio (Not Issued)","stall_misc (Not Issued)","stall_no_inst (Not Issued)","stall_not_selected (Not Issued)","stall_selected (Not Issued)","stall_short_sb (Not Issued)","stall_sleeping (Not Issued)","stall_tex (Not Issued)","stall_wait (Not Issued)"
"0xfffbb15d8f00","      LDC R1, c[0x0][0x37c]","2","2","2","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"0xfffbb15d8f10","      S2R R0, SR_TID.X","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8f20","      S2UR UR44, SR_CTAID.X","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8f30","      BSSY.RECONVERGENT B1, 0xfffbb15d9d20","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8f40","      LDCU.64 UR24, c[0x0][0x358]","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8f50","      S2R R3, SR_CTAID.X","3","1","3","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"0xfffbb15d8f60","      BSSY.RELIABLE B0, 0xfffbb15d9ba0","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0xfffbb15d8f70","      S2UR UR54, SR_CTAID.Z","3","1","3","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"0xfffbb15d8f80","      S2UR UR53, SR_CTAID.Y","4","2","4","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"0xfffbb15d8f90","      ULOP3.LUT UR44, UR44, 0x1, URZ, 0xc0, !UPT","0","0","0","8192","262144","262144","32","32","0","0","0","-","-","-","0","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
